search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 5
P3 sub-sub-shard: third prime factor = 7
progress: nodes=10,000,000 tested=7,874 found=0 n=18117800234656687552995 elapsed=27s
progress: nodes=20,000,000 tested=7,874 found=0 n=38481359945097919497165 elapsed=68s
progress: nodes=30,000,000 tested=7,874 found=0 n=59437004308572152328255 elapsed=110s
progress: nodes=40,000,000 tested=7,874 found=0 n=80774996327970615338535 elapsed=152s
progress: nodes=50,000,000 tested=7,874 found=0 n=102393296917346307740805 elapsed=195s
progress: nodes=60,000,000 tested=7,874 found=0 n=124237285253073811771785 elapsed=238s
progress: nodes=70,000,000 tested=7,874 found=0 n=146267444296025735958135 elapsed=283s
progress: nodes=80,000,000 tested=7,874 found=0 n=168456296005950253939155 elapsed=329s
progress: nodes=90,000,000 tested=7,874 found=0 n=190785198966089718541635 elapsed=375s
progress: nodes=100,000,000 tested=7,874 found=0 n=213238533482865310833315 elapsed=420s
progress: nodes=110,000,000 tested=7,874 found=0 n=235803393006707787520455 elapsed=465s
progress: nodes=120,000,000 tested=7,874 found=0 n=258467127262102696442715 elapsed=511s
progress: nodes=130,000,000 tested=7,874 found=0 n=281222221957666440531255 elapsed=557s
progress: nodes=140,000,000 tested=7,874 found=0 n=304064457394044393320715 elapsed=604s
progress: nodes=150,000,000 tested=7,874 found=0 n=326987113309301408958855 elapsed=651s
progress: nodes=160,000,000 tested=7,874 found=0 n=349981676573422306901985 elapsed=699s
progress: nodes=170,000,000 tested=7,874 found=0 n=373043736331814870577045 elapsed=746s
progress: nodes=180,000,000 tested=7,874 found=0 n=396170348793820212325455 elapsed=792s
progress: nodes=190,000,000 tested=7,874 found=0 n=419363531382407360053095 elapsed=839s
progress: nodes=200,000,000 tested=7,874 found=0 n=442613435191565709595545 elapsed=886s
progress: nodes=210,000,000 tested=7,874 found=0 n=465915401495076279185145 elapsed=942s
progress: nodes=220,000,000 tested=7,874 found=0 n=489273528787269421120065 elapsed=1003s
progress: nodes=230,000,000 tested=7,874 found=0 n=512679667343142076709715 elapsed=1063s
progress: nodes=240,000,000 tested=7,874 found=0 n=536136136863011507008305 elapsed=1123s
progress: nodes=250,000,000 tested=7,874 found=0 n=559635618411945718024095 elapsed=1182s
progress: nodes=260,000,000 tested=7,874 found=0 n=583182511501259091312765 elapsed=1242s
progress: nodes=270,000,000 tested=7,874 found=0 n=606765729967414203221595 elapsed=1303s
progress: nodes=280,000,000 tested=7,874 found=0 n=630394917697177825008285 elapsed=1363s
progress: nodes=290,000,000 tested=7,874 found=0 n=654060369886179997358835 elapsed=1422s
progress: nodes=300,000,000 tested=7,874 found=0 n=677769987547554211175355 elapsed=1481s
progress: nodes=310,000,000 tested=7,874 found=0 n=701509104453241890930915 elapsed=1540s
progress: nodes=320,000,000 tested=7,874 found=0 n=725288009586421499334585 elapsed=1601s
progress: nodes=330,000,000 tested=7,874 found=0 n=749098599645504821007645 elapsed=1662s
progress: nodes=340,000,000 tested=7,874 found=0 n=772947972161445366454455 elapsed=1721s
progress: nodes=350,000,000 tested=7,874 found=0 n=796827343656106220550435 elapsed=1781s
progress: nodes=360,000,000 tested=7,874 found=0 n=820740597311599570912005 elapsed=1841s
progress: nodes=370,000,000 tested=7,874 found=0 n=844677100065319292636235 elapsed=1902s
progress: nodes=380,000,000 tested=7,874 found=0 n=868644878546697864410295 elapsed=1962s
progress: nodes=390,000,000 tested=7,874 found=0 n=892644505381205253963405 elapsed=2021s
progress: nodes=400,000,000 tested=7,874 found=0 n=916671163036732789284585 elapsed=2082s
progress: nodes=410,000,000 tested=7,874 found=0 n=940727974695777711825795 elapsed=2147s
progress: nodes=420,000,000 tested=7,874 found=0 n=964812874201288443236115 elapsed=2214s
progress: nodes=430,000,000 tested=7,874 found=0 n=988917395056725346932195 elapsed=2280s
progress: nodes=440,000,000 tested=7,874 found=0 n=9945732637429394214465 elapsed=2317s
progress: nodes=450,000,000 tested=7,874 found=0 n=29913501702236980687335 elapsed=2355s
progress: nodes=460,000,000 tested=7,874 found=0 n=50659794948412410857145 elapsed=2396s
progress: nodes=470,000,000 tested=7,874 found=0 n=71855293720215957272055 elapsed=2438s
progress: nodes=480,000,000 tested=7,874 found=0 n=93366308942841887396955 elapsed=2481s
progress: nodes=490,000,000 tested=7,874 found=0 n=115120662888421708579845 elapsed=2526s
progress: nodes=500,000,000 tested=7,874 found=0 n=137079945284200817357655 elapsed=2571s
progress: nodes=510,000,000 tested=7,874 found=0 n=159204723059528825369985 elapsed=2617s
progress: nodes=520,000,000 tested=7,874 found=0 n=181477874590234087591845 elapsed=2661s
progress: nodes=530,000,000 tested=7,874 found=0 n=203883166819632979149345 elapsed=2706s
progress: nodes=540,000,000 tested=7,874 found=0 n=226400509930030043023395 elapsed=2750s
progress: nodes=550,000,000 tested=7,874 found=0 n=249023885819778875122065 elapsed=2796s
progress: nodes=560,000,000 tested=7,874 found=0 n=271741447762625483851635 elapsed=2844s
progress: nodes=570,000,000 tested=7,874 found=0 n=294551099327475202283505 elapsed=2892s
progress: nodes=580,000,000 tested=7,874 found=0 n=317441243763324805722255 elapsed=2939s
progress: nodes=590,000,000 tested=7,874 found=0 n=340406270911332082778895 elapsed=2985s
progress: nodes=600,000,000 tested=7,874 found=0 n=363442726701708495546915 elapsed=3031s
progress: nodes=610,000,000 tested=7,874 found=0 n=386541400701811081486095 elapsed=3078s
progress: nodes=620,000,000 tested=7,874 found=0 n=409707489666033724879665 elapsed=3125s
progress: nodes=630,000,000 tested=7,874 found=0 n=432934216534258575582285 elapsed=3173s
progress: nodes=640,000,000 tested=7,874 found=0 n=456215903297218214046855 elapsed=3224s
progress: nodes=650,000,000 tested=7,874 found=0 n=479550744251336512325655 elapsed=3284s
progress: nodes=660,000,000 tested=7,874 found=0 n=502937141655640921655265 elapsed=3344s
progress: nodes=670,000,000 tested=7,874 found=0 n=526373567930279696754645 elapsed=3403s
progress: nodes=680,000,000 tested=7,874 found=0 n=549855469954613869119045 elapsed=3464s
progress: nodes=690,000,000 tested=7,874 found=0 n=573383338646425827186555 elapsed=3525s
progress: nodes=700,000,000 tested=7,874 found=0 n=596949349570303331101815 elapsed=3585s
progress: nodes=710,000,000 tested=7,874 found=0 n=620563156602380409726315 elapsed=3644s
progress: nodes=720,000,000 tested=7,874 found=0 n=644212583847312355727145 elapsed=3703s
progress: nodes=730,000,000 tested=7,874 found=0 n=667904570323971927887115 elapsed=3762s
progress: nodes=740,000,000 tested=7,874 found=0 n=691631906241975242606685 elapsed=3823s
