search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 5
P3 sub-sub-shard: third prime factor = 11
progress: nodes=10,000,000 tested=1,857 found=0 n=557750321925162784275 elapsed=24s
progress: nodes=20,000,000 tested=1,857 found=0 n=419229506519858495057025 elapsed=63s
progress: nodes=30,000,000 tested=1,862 found=0 n=524191573797420661275 elapsed=84s
progress: nodes=40,000,000 tested=1,864 found=0 n=13834520242197272475 elapsed=98s
progress: nodes=50,000,000 tested=1,867 found=0 n=6083666866967128725 elapsed=98s
progress: nodes=60,000,000 tested=1,869 found=0 n=9411414272992585425 elapsed=99s
progress: nodes=70,000,000 tested=1,870 found=0 n=1740250637840082225 elapsed=99s
progress: nodes=80,000,000 tested=1,872 found=0 n=1407087888856338975 elapsed=100s
progress: nodes=90,000,000 tested=1,877 found=0 n=21947898590148985343175 elapsed=100s
progress: nodes=100,000,000 tested=1,877 found=0 n=981798678416566455598725 elapsed=101s
progress: nodes=110,000,000 tested=1,877 found=0 n=925880575738300522658175 elapsed=101s
progress: nodes=120,000,000 tested=1,877 found=0 n=956874231628291134218775 elapsed=102s
progress: nodes=130,000,000 tested=1,877 found=0 n=988218073937941355298075 elapsed=102s
progress: nodes=140,000,000 tested=1,877 found=0 n=957606595884391293372675 elapsed=102s
progress: nodes=150,000,000 tested=1,877 found=0 n=978086846324066225807775 elapsed=103s
progress: nodes=160,000,000 tested=1,877 found=0 n=875982466274533608393975 elapsed=103s
progress: nodes=170,000,000 tested=1,877 found=0 n=925858677834517845957825 elapsed=104s
progress: nodes=180,000,000 tested=1,877 found=0 n=786864005732699986237575 elapsed=104s
progress: nodes=190,000,000 tested=1,877 found=0 n=821087440480404019032825 elapsed=105s
progress: nodes=200,000,000 tested=1,877 found=0 n=926169942611680427371425 elapsed=105s
progress: nodes=210,000,000 tested=1,877 found=0 n=964319631722003191130925 elapsed=106s
progress: nodes=220,000,000 tested=1,877 found=0 n=980256102797399243533575 elapsed=106s
progress: nodes=230,000,000 tested=1,877 found=0 n=901195963574548436126475 elapsed=106s
progress: nodes=240,000,000 tested=1,877 found=0 n=973655921658819336269475 elapsed=107s
progress: nodes=250,000,000 tested=1,877 found=0 n=945368368045493139558525 elapsed=107s
progress: nodes=260,000,000 tested=1,877 found=0 n=917809966745995009390275 elapsed=108s
progress: nodes=270,000,000 tested=1,877 found=0 n=949041542500800108692475 elapsed=108s
progress: nodes=280,000,000 tested=1,877 found=0 n=983860904579831219788275 elapsed=109s
progress: nodes=290,000,000 tested=1,877 found=0 n=974698060715091474365175 elapsed=109s
progress: nodes=300,000,000 tested=1,877 found=0 n=728664787949173492849575 elapsed=109s
progress: nodes=310,000,000 tested=1,877 found=0 n=906347079707886405635475 elapsed=110s
progress: nodes=320,000,000 tested=1,877 found=0 n=984739997692599800147925 elapsed=110s
progress: nodes=330,000,000 tested=1,877 found=0 n=992507233212965569681725 elapsed=111s
progress: nodes=340,000,000 tested=1,877 found=0 n=987073093612303389409575 elapsed=111s
progress: nodes=350,000,000 tested=1,877 found=0 n=810028414413245533323675 elapsed=112s
progress: nodes=360,000,000 tested=1,877 found=0 n=953832876854858252184075 elapsed=112s
progress: nodes=370,000,000 tested=1,877 found=0 n=958805715556435324588725 elapsed=113s
progress: nodes=380,000,000 tested=1,877 found=0 n=887319768507914511509025 elapsed=113s
progress: nodes=390,000,000 tested=1,877 found=0 n=887563162592938000551525 elapsed=113s
progress: nodes=400,000,000 tested=1,877 found=0 n=937864284503212197835275 elapsed=114s
progress: nodes=410,000,000 tested=1,877 found=0 n=957041111389394239569075 elapsed=114s
progress: nodes=420,000,000 tested=1,877 found=0 n=885342661641651448531725 elapsed=115s
progress: nodes=430,000,000 tested=1,877 found=0 n=985081971591253670630925 elapsed=115s
progress: nodes=440,000,000 tested=1,877 found=0 n=992268146857307231093325 elapsed=116s
progress: nodes=450,000,000 tested=1,877 found=0 n=879728647455959524433925 elapsed=116s
progress: nodes=460,000,000 tested=1,877 found=0 n=955929170303360428814925 elapsed=117s
progress: nodes=470,000,000 tested=1,877 found=0 n=859961902770022212849975 elapsed=117s
progress: nodes=480,000,000 tested=1,877 found=0 n=740124018434645142580425 elapsed=117s
progress: nodes=490,000,000 tested=1,877 found=0 n=936780170934590491047825 elapsed=118s
progress: nodes=500,000,000 tested=1,877 found=0 n=862088572378567233982425 elapsed=118s
progress: nodes=510,000,000 tested=1,877 found=0 n=968721549695964312866475 elapsed=119s
progress: nodes=520,000,000 tested=1,877 found=0 n=971089047844966310649675 elapsed=119s
progress: nodes=530,000,000 tested=1,877 found=0 n=828975020227622137401675 elapsed=120s
progress: nodes=540,000,000 tested=1,877 found=0 n=932577279109449407973825 elapsed=120s
progress: nodes=550,000,000 tested=1,877 found=0 n=801687616611997092044925 elapsed=121s
progress: nodes=560,000,000 tested=1,877 found=0 n=897021364384238826436275 elapsed=121s
progress: nodes=570,000,000 tested=1,877 found=0 n=862274522942980174094925 elapsed=121s
progress: nodes=580,000,000 tested=1,877 found=0 n=925350504982035562169025 elapsed=122s
progress: nodes=590,000,000 tested=1,877 found=0 n=772149527025297962894925 elapsed=122s
progress: nodes=600,000,000 tested=1,877 found=0 n=909107028216634603602675 elapsed=123s
progress: nodes=610,000,000 tested=1,877 found=0 n=950817738157374895761525 elapsed=123s
progress: nodes=620,000,000 tested=1,877 found=0 n=943434623464501873343925 elapsed=124s
progress: nodes=630,000,000 tested=1,877 found=0 n=808705753356172448773425 elapsed=124s
progress: nodes=640,000,000 tested=1,877 found=0 n=880197090800397141711225 elapsed=125s
progress: nodes=650,000,000 tested=1,877 found=0 n=989389180678150610647575 elapsed=125s
progress: nodes=660,000,000 tested=1,877 found=0 n=947622118103486952415575 elapsed=125s
progress: nodes=670,000,000 tested=1,877 found=0 n=810524489954083754345925 elapsed=126s
progress: nodes=680,000,000 tested=1,877 found=0 n=811534796438941609180575 elapsed=126s
progress: nodes=690,000,000 tested=1,877 found=0 n=851377675666980782666775 elapsed=127s
progress: nodes=700,000,000 tested=1,877 found=0 n=904367622612387768688425 elapsed=127s
progress: nodes=710,000,000 tested=1,877 found=0 n=927884423756104156560075 elapsed=128s
progress: nodes=720,000,000 tested=1,877 found=0 n=654263578600447558732275 elapsed=128s
progress: nodes=730,000,000 tested=1,877 found=0 n=890786629609393921736475 elapsed=129s
progress: nodes=740,000,000 tested=1,877 found=0 n=749610580064120664629025 elapsed=129s
progress: nodes=750,000,000 tested=1,877 found=0 n=924254896679514633315225 elapsed=130s
progress: nodes=760,000,000 tested=1,877 found=0 n=916101651331259678474475 elapsed=130s
