search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 5
P3 sub-sub-shard: third prime factor = 7
progress: nodes=10,000,000 tested=13,552 found=0 n=268400839720240649286165 elapsed=29s
progress: nodes=20,000,000 tested=13,552 found=0 n=563384349948901951949955 elapsed=71s
progress: nodes=30,000,000 tested=13,552 found=0 n=866821464908147840409255 elapsed=115s
progress: nodes=40,000,000 tested=13,552 found=0 n=152285102944560576455115 elapsed=142s
progress: nodes=50,000,000 tested=13,552 found=0 n=441785405094253561874085 elapsed=183s
progress: nodes=60,000,000 tested=13,552 found=0 n=742287553790289508679685 elapsed=226s
progress: nodes=70,000,000 tested=13,552 found=0 n=41307058882626975374685 elapsed=263s
progress: nodes=80,000,000 tested=13,552 found=0 n=321905340735614216946015 elapsed=297s
progress: nodes=90,000,000 tested=13,552 found=0 n=618819600222335215967235 elapsed=339s
progress: nodes=100,000,000 tested=13,552 found=0 n=923420915115819084495195 elapsed=388s
progress: nodes=110,000,000 tested=13,552 found=0 n=204380453719299163237995 elapsed=414s
progress: nodes=120,000,000 tested=13,552 found=0 n=496613734817092262345535 elapsed=457s
progress: nodes=130,000,000 tested=13,552 found=0 n=798551921879261416779045 elapsed=501s
progress: nodes=140,000,000 tested=13,552 found=0 n=90595177420036423692705 elapsed=530s
progress: nodes=150,000,000 tested=13,552 found=0 n=375953884404948939647145 elapsed=569s
progress: nodes=160,000,000 tested=13,552 found=0 n=674613775242682115698095 elapsed=612s
progress: nodes=170,000,000 tested=13,552 found=0 n=980336778484166883080385 elapsed=657s
progress: nodes=180,000,000 tested=13,552 found=0 n=257306136995533143928935 elapsed=683s
progress: nodes=190,000,000 tested=13,552 found=0 n=551861893510360577871195 elapsed=726s
progress: nodes=200,000,000 tested=13,552 found=0 n=855066366947106403845945 elapsed=769s
progress: nodes=210,000,000 tested=13,552 found=0 n=141589426695025614189465 elapsed=796s
progress: nodes=220,000,000 tested=13,552 found=0 n=430466873406992004457245 elapsed=836s
progress: nodes=230,000,000 tested=13,552 found=0 n=730694800545409997190915 elapsed=879s
progress: nodes=240,000,000 tested=13,552 found=0 n=31480680690077247509055 elapsed=917s
progress: nodes=250,000,000 tested=13,552 found=0 n=310851204546366302081865 elapsed=946s
progress: nodes=260,000,000 tested=13,552 found=0 n=607406871339097045084995 elapsed=988s
progress: nodes=270,000,000 tested=13,552 found=0 n=911802118922746838151855 elapsed=1031s
progress: nodes=280,000,000 tested=13,552 found=0 n=193647736540204857607305 elapsed=1057s
progress: nodes=290,000,000 tested=13,552 found=0 n=485376310684553770211205 elapsed=1097s
progress: nodes=300,000,000 tested=13,552 found=0 n=787054484812318715594805 elapsed=1139s
progress: nodes=310,000,000 tested=13,552 found=0 n=80380921242516782312355 elapsed=1168s
progress: nodes=320,000,000 tested=13,552 found=0 n=364913414303210650526565 elapsed=1204s
progress: nodes=330,000,000 tested=13,552 found=0 n=663260021815376404918065 elapsed=1245s
progress: nodes=340,000,000 tested=13,552 found=0 n=968760223226721089154165 elapsed=1287s
progress: nodes=350,000,000 tested=13,552 found=0 n=246526489784542320257835 elapsed=1311s
progress: nodes=360,000,000 tested=13,552 found=0 n=540640086612556792793505 elapsed=1351s
progress: nodes=370,000,000 tested=13,552 found=0 n=843613646768659840945935 elapsed=1393s
progress: nodes=380,000,000 tested=13,552 found=0 n=131184477581909758346865 elapsed=1419s
progress: nodes=390,000,000 tested=13,552 found=0 n=419429627619098708060715 elapsed=1458s
progress: nodes=400,000,000 tested=13,552 found=0 n=719370686405897374380315 elapsed=1499s
progress: nodes=410,000,000 tested=13,552 found=0 n=22033838453914460374005 elapsed=1538s
progress: nodes=420,000,000 tested=13,552 found=0 n=300029402043171133494735 elapsed=1565s
progress: nodes=430,000,000 tested=13,552 found=0 n=596212833346839422983605 elapsed=1605s
progress: nodes=440,000,000 tested=13,552 found=0 n=900391988274123773235255 elapsed=1649s
progress: nodes=450,000,000 tested=13,552 found=0 n=183138660534206312789385 elapsed=1675s
progress: nodes=460,000,000 tested=13,552 found=0 n=474341634081028406299215 elapsed=1717s
progress: nodes=470,000,000 tested=13,552 found=0 n=775753160989355842547415 elapsed=1762s
progress: nodes=480,000,000 tested=13,552 found=0 n=70412291268635367591645 elapsed=1794s
progress: nodes=490,000,000 tested=13,552 found=0 n=354084626983676601812835 elapsed=1829s
progress: nodes=500,000,000 tested=13,552 found=0 n=652096554564905834974485 elapsed=1872s
progress: nodes=510,000,000 tested=13,552 found=0 n=957403750716777244790595 elapsed=1916s
progress: nodes=520,000,000 tested=13,552 found=0 n=235957884261818163724335 elapsed=1941s
progress: nodes=530,000,000 tested=13,552 found=0 n=529644861833978527148505 elapsed=1984s
progress: nodes=540,000,000 tested=13,552 found=0 n=832385861317494246560385 elapsed=2029s
progress: nodes=550,000,000 tested=13,552 found=0 n=121018048947713451513315 elapsed=2058s
progress: nodes=560,000,000 tested=13,552 found=0 n=408613166750544959936355 elapsed=2100s
progress: nodes=570,000,000 tested=13,552 found=0 n=708263485976134222188915 elapsed=2143s
progress: nodes=580,000,000 tested=13,552 found=0 n=13006741277417162163315 elapsed=2185s
progress: nodes=590,000,000 tested=13,552 found=0 n=289433588187102151956555 elapsed=2212s
progress: nodes=600,000,000 tested=13,552 found=0 n=585244347040474276514835 elapsed=2255s
progress: nodes=610,000,000 tested=13,552 found=0 n=889220024486319144559605 elapsed=2299s
progress: nodes=620,000,000 tested=13,552 found=0 n=172856516233104775519035 elapsed=2325s
progress: nodes=630,000,000 tested=13,552 found=0 n=463547072020938038558985 elapsed=2369s
progress: nodes=640,000,000 tested=13,552 found=0 n=764685886105554784207095 elapsed=2413s
progress: nodes=650,000,000 tested=13,552 found=0 n=60721968693754523576505 elapsed=2448s
progress: nodes=660,000,000 tested=13,552 found=0 n=343494064319646469098135 elapsed=2482s
progress: nodes=670,000,000 tested=13,552 found=0 n=641190998179184108758095 elapsed=2525s
progress: nodes=680,000,000 tested=13,552 found=0 n=946300349565721395083895 elapsed=2569s
progress: nodes=690,000,000 tested=13,552 found=0 n=225638078790718370210595 elapsed=2593s
progress: nodes=700,000,000 tested=13,552 found=0 n=518900253698620940208195 elapsed=2635s
progress: nodes=710,000,000 tested=13,552 found=0 n=821408551598424594226065 elapsed=2678s
progress: nodes=720,000,000 tested=13,552 found=0 n=111126257720027528432055 elapsed=2705s
progress: nodes=730,000,000 tested=13,552 found=0 n=398071686669013025500335 elapsed=2747s
progress: nodes=740,000,000 tested=13,552 found=0 n=697446856183176572120445 elapsed=2791s
