search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 5
P3 sub-sub-shard: third prime factor = 13
progress: nodes=10,000,000 tested=3,560 found=0 n=627679738830230424585 elapsed=24s
progress: nodes=20,000,000 tested=3,560 found=0 n=1311257103481404190215 elapsed=64s
progress: nodes=30,000,000 tested=3,560 found=0 n=2014319238977003493015 elapsed=107s
progress: nodes=40,000,000 tested=3,560 found=0 n=2730039954099930926415 elapsed=150s
progress: nodes=50,000,000 tested=3,560 found=0 n=3455155136330061060195 elapsed=194s
progress: nodes=60,000,000 tested=3,560 found=0 n=4187732840504546157045 elapsed=238s
progress: nodes=70,000,000 tested=3,560 found=0 n=4926543134759599068495 elapsed=282s
progress: nodes=80,000,000 tested=3,560 found=0 n=5670646545621281333265 elapsed=326s
progress: nodes=90,000,000 tested=3,560 found=0 n=6419435688895694869755 elapsed=370s
progress: nodes=100,000,000 tested=3,560 found=0 n=7172339648795203241385 elapsed=416s
progress: nodes=110,000,000 tested=3,560 found=0 n=7928975823986906176995 elapsed=463s
progress: nodes=120,000,000 tested=3,560 found=0 n=8689006800718933670865 elapsed=510s
progress: nodes=130,000,000 tested=3,560 found=0 n=9452015389720349349345 elapsed=556s
progress: nodes=140,000,000 tested=3,560 found=0 n=10217939859515509466085 elapsed=602s
progress: nodes=150,000,000 tested=3,560 found=0 n=10986583394806426058535 elapsed=648s
progress: nodes=160,000,000 tested=3,560 found=0 n=11757622555058305811535 elapsed=694s
progress: nodes=170,000,000 tested=3,560 found=0 n=12530920143563157831885 elapsed=742s
progress: nodes=180,000,000 tested=3,560 found=0 n=13306375037613932158365 elapsed=790s
progress: nodes=190,000,000 tested=3,560 found=0 n=14084028029989513968255 elapsed=837s
progress: nodes=200,000,000 tested=3,560 found=0 n=14863652351716397574735 elapsed=884s
progress: nodes=210,000,000 tested=3,823 found=0 n=15645024142560317549655 elapsed=939s
progress: nodes=220,000,000 tested=3,823 found=0 n=16428203408473639519815 elapsed=998s
progress: nodes=230,000,000 tested=3,823 found=0 n=17212968226033940844315 elapsed=1059s
progress: nodes=240,000,000 tested=3,823 found=0 n=17999480069005292735085 elapsed=1120s
progress: nodes=250,000,000 tested=3,823 found=0 n=18787464325640196582435 elapsed=1181s
progress: nodes=260,000,000 tested=3,823 found=0 n=19576949879085442460955 elapsed=1240s
progress: nodes=270,000,000 tested=3,823 found=0 n=20367724313904017776245 elapsed=1298s
progress: nodes=280,000,000 tested=3,823 found=0 n=21159992030653382061285 elapsed=1358s
progress: nodes=290,000,000 tested=3,823 found=0 n=21953493658534501403145 elapsed=1419s
progress: nodes=300,000,000 tested=3,823 found=0 n=22748504175528386502195 elapsed=1479s
progress: nodes=310,000,000 tested=3,823 found=0 n=23544395089713528973605 elapsed=1538s
progress: nodes=320,000,000 tested=3,823 found=0 n=24341727752548537962735 elapsed=1597s
progress: nodes=330,000,000 tested=3,823 found=0 n=25140116794820316051555 elapsed=1656s
progress: nodes=340,000,000 tested=3,823 found=0 n=25939764335169824361885 elapsed=1717s
progress: nodes=350,000,000 tested=3,823 found=0 n=26740454028192747480105 elapsed=1778s
progress: nodes=360,000,000 tested=3,823 found=0 n=27542223610026735057435 elapsed=1839s
progress: nodes=370,000,000 tested=3,823 found=0 n=28344789087712017238305 elapsed=1898s
progress: nodes=380,000,000 tested=3,823 found=0 n=29148396344794249980795 elapsed=1956s
progress: nodes=390,000,000 tested=3,823 found=0 n=29953099400716466660205 elapsed=2015s
progress: nodes=400,000,000 tested=3,823 found=0 n=30758730767033455190745 elapsed=2079s
progress: nodes=410,000,000 tested=3,823 found=0 n=31565366655530491211805 elapsed=2145s
progress: nodes=420,000,000 tested=3,823 found=0 n=32372893350702070567245 elapsed=2210s
progress: nodes=430,000,000 tested=3,823 found=0 n=33181063623798675581295 elapsed=2274s
progress: nodes=440,000,000 tested=3,823 found=0 n=33990270767354578710735 elapsed=2341s
progress: nodes=450,000,000 tested=3,823 found=0 n=34800162267528488364885 elapsed=2407s
progress: nodes=460,000,000 tested=3,823 found=0 n=35611009482224007270855 elapsed=2473s
progress: nodes=470,000,000 tested=3,823 found=0 n=36422733361346141086485 elapsed=2538s
progress: nodes=480,000,000 tested=3,823 found=0 n=37235304437183070823215 elapsed=2603s
progress: nodes=490,000,000 tested=3,823 found=0 n=38048339601309341007405 elapsed=2670s
progress: nodes=500,000,000 tested=3,823 found=0 n=38862444026431872865395 elapsed=2736s
progress: nodes=510,000,000 tested=3,823 found=0 n=39677130009242748256455 elapsed=2801s
progress: nodes=520,000,000 tested=3,823 found=0 n=40492622057927830923015 elapsed=2866s
progress: nodes=530,000,000 tested=3,823 found=0 n=41308565235870287751435 elapsed=2931s
progress: nodes=540,000,000 tested=3,823 found=0 n=42125524197673288858785 elapsed=2998s
progress: nodes=550,000,000 tested=3,823 found=0 n=42942970559937265416495 elapsed=3065s
progress: nodes=560,000,000 tested=3,823 found=0 n=43761126365814826710495 elapsed=3131s
progress: nodes=570,000,000 tested=3,823 found=0 n=44579967317121035955285 elapsed=3196s
progress: nodes=580,000,000 tested=3,823 found=0 n=45399372253949960536095 elapsed=3262s
progress: nodes=590,000,000 tested=3,823 found=0 n=603627803460095583195 elapsed=3286s
progress: nodes=600,000,000 tested=3,823 found=0 n=1286261482312887641145 elapsed=3327s
progress: nodes=610,000,000 tested=3,823 found=0 n=1988792660992890760605 elapsed=3369s
progress: nodes=620,000,000 tested=3,823 found=0 n=2704186694211189376995 elapsed=3413s
progress: nodes=630,000,000 tested=3,823 found=0 n=3428975223620030448585 elapsed=3455s
progress: nodes=640,000,000 tested=3,823 found=0 n=4161343576883153949405 elapsed=3499s
progress: nodes=650,000,000 tested=3,823 found=0 n=4899987375281223309045 elapsed=3543s
progress: nodes=660,000,000 tested=3,823 found=0 n=5643946645322831345565 elapsed=3587s
progress: nodes=670,000,000 tested=3,823 found=0 n=6392573370741778927785 elapsed=3633s
progress: nodes=680,000,000 tested=3,823 found=0 n=7145389459412013439305 elapsed=3679s
progress: nodes=690,000,000 tested=3,823 found=0 n=7901960550409760706495 elapsed=3725s
progress: nodes=700,000,000 tested=3,980 found=0 n=8661831554686217491935 elapsed=3771s
progress: nodes=710,000,000 tested=3,980 found=0 n=9424781027124483083895 elapsed=3817s
progress: nodes=720,000,000 tested=3,980 found=0 n=10190649347779761806985 elapsed=3863s
progress: nodes=730,000,000 tested=3,980 found=0 n=10959224269948774409655 elapsed=3910s
progress: nodes=740,000,000 tested=3,980 found=0 n=11730204809705257890885 elapsed=3958s
