search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07
SPF shard: smallest prime factor = 5
progress: nodes=10,000,000 tested=0 found=0 n=209829640916792672430655 elapsed=1s
progress: nodes=20,000,000 tested=0 found=0 n=851387023299770885872945 elapsed=2s
progress: nodes=30,000,000 tested=0 found=0 n=464785150293836957585 elapsed=3s
progress: nodes=40,000,000 tested=0 found=0 n=947381980483652820271165 elapsed=3s
progress: nodes=50,000,000 tested=0 found=0 n=861269954173009755989615 elapsed=4s
progress: nodes=60,000,000 tested=0 found=0 n=755476477729670020689365 elapsed=5s
progress: nodes=70,000,000 tested=0 found=0 n=992922915072293357317165 elapsed=6s
progress: nodes=80,000,000 tested=0 found=0 n=632220991800370536709145 elapsed=7s
progress: nodes=90,000,000 tested=0 found=0 n=745595115379127391493115 elapsed=8s
progress: nodes=100,000,000 tested=0 found=0 n=909139529956814282561435 elapsed=9s
progress: nodes=110,000,000 tested=0 found=0 n=442623580030134545657615 elapsed=11s
progress: nodes=120,000,000 tested=0 found=0 n=928698032906395335939355 elapsed=12s
progress: nodes=130,000,000 tested=0 found=0 n=862404736334294521032665 elapsed=13s
progress: nodes=140,000,000 tested=0 found=0 n=748568509295752099619665 elapsed=14s
progress: nodes=150,000,000 tested=0 found=0 n=638204636554988275107335 elapsed=15s
progress: nodes=160,000,000 tested=0 found=0 n=479637191685017060830135 elapsed=16s
progress: nodes=170,000,000 tested=0 found=0 n=510400035950852178786655 elapsed=17s
progress: nodes=180,000,000 tested=0 found=0 n=678591588469416558501565 elapsed=18s
progress: nodes=190,000,000 tested=0 found=0 n=954434260486447081856515 elapsed=19s
progress: nodes=200,000,000 tested=0 found=0 n=370359283696334590863205 elapsed=20s
progress: nodes=210,000,000 tested=0 found=0 n=739169136213629557791355 elapsed=21s
progress: nodes=220,000,000 tested=0 found=0 n=694780897560958353930785 elapsed=22s
progress: nodes=230,000,000 tested=0 found=0 n=646409760014116138625585 elapsed=23s
progress: nodes=240,000,000 tested=0 found=0 n=774151059138029369952155 elapsed=24s
progress: nodes=250,000,000 tested=0 found=0 n=680937836161739394373135 elapsed=25s
progress: nodes=260,000,000 tested=0 found=0 n=407359475806547375606495 elapsed=27s
progress: nodes=270,000,000 tested=0 found=0 n=828449004674451386641415 elapsed=29s
progress: nodes=280,000,000 tested=0 found=0 n=573373249364828170052795 elapsed=31s
progress: nodes=290,000,000 tested=0 found=0 n=879849652030191617239465 elapsed=33s
progress: nodes=300,000,000 tested=0 found=0 n=986126904993457576614265 elapsed=35s
progress: nodes=310,000,000 tested=0 found=0 n=654457000440591391938895 elapsed=37s
progress: nodes=320,000,000 tested=0 found=0 n=869403998903805928177615 elapsed=39s
progress: nodes=330,000,000 tested=0 found=0 n=683232858664208076509285 elapsed=41s
progress: nodes=340,000,000 tested=0 found=0 n=280392880732606933306015 elapsed=43s
progress: nodes=350,000,000 tested=0 found=0 n=794453607202542708426005 elapsed=44s
progress: nodes=360,000,000 tested=0 found=0 n=905459886089407129616135 elapsed=46s
progress: nodes=370,000,000 tested=0 found=0 n=543023296175042895377165 elapsed=48s
progress: nodes=380,000,000 tested=0 found=0 n=874739949892095726894455 elapsed=50s
