LOOP t=3 P=2,3,11,17,101,149,3109, N=52495396602 A=1
T2ITER t=2 P=2,3,11,17,101,149,3119,969713, N=51069204351828366 A=1836361
T2ITER t=2 P=2,3,11,17,101,149,3119,969719, N=51069520337306658 A=2162227
T2ITER t=2 P=2,3,11,17,101,149,3119,969721, N=51069625665799422 A=2270849
T2ITER t=2 P=2,3,11,17,101,149,3119,969743, N=51070784279219826 A=3465691
T2ITER t=2 P=2,3,11,17,101,149,3119,969757, N=51071521578669174 A=4226045
T2ITER t=2 P=2,3,11,17,101,149,3119,969763, N=51071837564147466 A=4551911
T2ITER t=2 P=2,3,11,17,101,149,3119,969767, N=51072048221132994 A=4769155
T2ITER t=2 P=2,3,11,17,101,149,3119,969791, N=51073312163046162 A=6072619
T2ITER t=2 P=2,3,11,17,101,149,3119,969797, N=51073628148524454 A=6398485
T2ITER t=2 P=2,3,11,17,101,149,3119,969809, N=51074260119481038 A=7050217
T2ITER t=2 P=2,3,11,17,101,149,3119,969821, N=51074892090437622 A=7701949
T2ITER t=2 P=2,3,11,17,101,149,3119,969851, N=51076472017829082 A=9331279
T2ITER t=2 P=2,3,11,17,101,149,3119,969863, N=51077103988785666 A=9983011
T2ITER t=2 P=2,3,11,17,101,149,3119,969869, N=51077419974263958 A=10308877
T2ITER t=2 P=2,3,11,17,101,149,3119,969877, N=51077841288235014 A=10743365
T2ITER t=2 P=2,3,11,17,101,149,3119,969889, N=51078473259191598 A=11395097
T2ITER t=2 P=2,3,11,17,101,149,3119,969907, N=51079421215626474 A=12372695
T2ITER t=2 P=2,3,11,17,101,149,3119,969911, N=51079631872612002 A=12589939
T2ITER t=2 P=2,3,11,17,101,149,3119,969919, N=51080053186583058 A=13024427
T2ITER t=2 P=2,3,11,17,101,149,3119,969923, N=51080263843568586 A=13241671
T2ITER t=2 P=2,3,11,17,101,149,3119,969929, N=51080579829046878 A=13567537
T2ITER t=2 P=2,3,11,17,101,149,3119,969977, N=51083107712873214 A=16174465
T2ITER t=2 P=2,3,11,17,101,149,3119,969989, N=51083739683829798 A=16826197
T2ITER t=2 P=2,3,11,17,101,149,3119,970027, N=51085740925192314 A=18890015
T2ITER t=2 P=2,3,11,17,101,149,3119,970031, N=51085951582177842 A=19107259
T2ITER t=2 P=2,3,11,17,101,149,3119,970043, N=51086583553134426 A=19758991
T2ITER t=2 P=2,3,11,17,101,149,3119,970051, N=51087004867105482 A=20193479
T2ITER t=2 P=2,3,11,17,101,149,3119,970061, N=51087531509569302 A=20736589
T2ITER t=2 P=2,3,11,17,101,149,3119,970063, N=51087636838062066 A=20845211
T2ITER t=2 P=2,3,11,17,101,149,3119,970069, N=51087952823540358 A=21171077
T2ITER t=2 P=2,3,11,17,101,149,3119,970087, N=51088900779975234 A=22148675
T2ITER t=2 P=2,3,11,17,101,149,3119,970091, N=51089111436960762 A=22365919
T2ITER t=2 P=2,3,11,17,101,149,3119,970111, N=51090164721888402 A=23452139
T2ITER t=2 P=2,3,11,17,101,149,3119,970133, N=51091323335308806 A=24646981
T2ITER t=2 P=2,3,11,17,101,149,3119,970147, N=51092060634758154 A=25407335
T2ITER t=2 P=2,3,11,17,101,149,3119,970201, N=51094904504062782 A=28340129
T2ITER t=2 P=2,3,11,17,101,149,3119,970213, N=51095536475019366 A=28991861
T2ITER t=2 P=2,3,11,17,101,149,3119,970217, N=51095747132004894 A=29209105
T2ITER t=2 P=2,3,11,17,101,149,3119,970219, N=51095852460497658 A=29317727
T2ITER t=2 P=2,3,11,17,101,149,3119,970231, N=51096484431454242 A=29969459
T2ITER t=2 P=2,3,11,17,101,149,3119,970237, N=51096800416932534 A=30295325
T2ITER t=2 P=2,3,11,17,101,149,3119,970247, N=51097327059396354 A=30838435
T2ITER t=2 P=2,3,11,17,101,149,3119,970259, N=51097959030352938 A=31490167
T2ITER t=2 P=2,3,11,17,101,149,3119,970261, N=51098064358845702 A=31598789
T2ITER t=2 P=2,3,11,17,101,149,3119,970267, N=51098380344323994 A=31924655
T2ITER t=2 P=2,3,11,17,101,149,3119,970279, N=51099012315280578 A=32576387
T2ITER t=2 P=2,3,11,17,101,149,3119,970297, N=51099960271715454 A=33553985
T2ITER t=2 P=2,3,11,17,101,149,3119,970303, N=51100276257193746 A=33879851
T2ITER t=2 P=2,3,11,17,101,149,3119,970313, N=51100802899657566 A=34422961
T2ITER t=2 P=2,3,11,17,101,149,3119,970351, N=51102804141020082 A=36486779
T2ITER t=2 P=2,3,11,17,101,149,3119,970391, N=51104910710875362 A=38659219
T2ITER t=2 P=2,3,11,17,101,149,3119,970421, N=51106490638266822 A=40288549
T2ITER t=2 P=2,3,11,17,101,149,3119,970423, N=51106595966759586 A=40397171
T2ITER t=2 P=2,3,11,17,101,149,3119,970433, N=51107122609223406 A=40940281
T2ITER t=2 P=2,3,11,17,101,149,3119,970441, N=51107543923194462 A=41374769
T2ITER t=2 P=2,3,11,17,101,149,3119,970447, N=51107859908672754 A=41700635
T2ITER t=2 P=2,3,11,17,101,149,3119,970457, N=51108386551136574 A=42243745
T2ITER t=2 P=2,3,11,17,101,149,3119,970469, N=51109018522093158 A=42895477
T2ITER t=2 P=2,3,11,17,101,149,3119,970481, N=51109650493049742 A=43547209
T2ITER t=2 P=2,3,11,17,101,149,3119,970493, N=51110282464006326 A=44198941
T2ITER t=2 P=2,3,11,17,101,149,3119,970537, N=51112599690847134 A=46588625
T2ITER t=2 P=2,3,11,17,101,149,3119,970549, N=51113231661803718 A=47240357
T2ITER t=2 P=2,3,11,17,101,149,3119,970561, N=51113863632760302 A=47892089
T2ITER t=2 P=2,3,11,17,101,149,3119,970573, N=51114495603716886 A=48543821
T2ITER t=2 P=2,3,11,17,101,149,3119,970583, N=51115022246180706 A=49086931
T2ITER t=2 P=2,3,11,17,101,149,3119,970603, N=51116075531108346 A=50173151
T2ITER t=2 P=2,3,11,17,101,149,3119,970633, N=51117655458499806 A=51802481
T2ITER t=2 P=2,3,11,17,101,149,3119,970643, N=51118182100963626 A=52345591
T2ITER t=2 P=2,3,11,17,101,149,3119,970657, N=51118919400412974 A=53105945
T2ITER t=2 P=2,3,11,17,101,149,3119,970667, N=51119446042876794 A=53649055
T2ITER t=2 P=2,3,11,17,101,149,3119,970687, N=51120499327804434 A=54735275
T2ITER t=2 P=2,3,11,17,101,149,3119,970699, N=51121131298761018 A=55387007
T2ITER t=2 P=2,3,11,17,101,149,3119,970721, N=51122289912181422 A=56581849
T2ITER t=2 P=2,3,11,17,101,149,3119,970747, N=51123659182587354 A=57993935
T2ITER t=2 P=2,3,11,17,101,149,3119,970777, N=51125239109978814 A=59623265
T2ITER t=2 P=2,3,11,17,101,149,3119,970787, N=51125765752442634 A=60166375
T2ITER t=2 P=2,3,11,17,101,149,3119,970789, N=51125871080935398 A=60274997
T2ITER t=2 P=2,3,11,17,101,149,3119,970793, N=51126081737920926 A=60492241
T2ITER t=2 P=2,3,11,17,101,149,3119,970799, N=51126397723399218 A=60818107
T2ITER t=2 P=2,3,11,17,101,149,3119,970813, N=51127135022848566 A=61578461
T2ITER t=2 P=2,3,11,17,101,149,3119,970817, N=51127345679834094 A=61795705
T2ITER t=2 P=2,3,11,17,101,149,3119,970829, N=51127977650790678 A=62447437
T2ITER t=2 P=2,3,11,17,101,149,3119,970847, N=51128925607225554 A=63425035
T2ITER t=2 P=2,3,11,17,101,149,3119,970859, N=51129557578182138 A=64076767
T2ITER t=2 P=2,3,11,17,101,149,3119,970861, N=51129662906674902 A=64185389
T2ITER t=2 P=2,3,11,17,101,149,3119,970867, N=51129978892153194 A=64511255
T2ITER t=2 P=2,3,11,17,101,149,3119,970877, N=51130505534617014 A=65054365
T2ITER t=2 P=2,3,11,17,101,149,3119,970883, N=51130821520095306 A=65380231
T2ITER t=2 P=2,3,11,17,101,149,3119,970903, N=51131874805022946 A=66466451
T2ITER t=2 P=2,3,11,17,101,149,3119,970909, N=51132190790501238 A=66792317
T2ITER t=2 P=2,3,11,17,101,149,3119,970927, N=51133138746936114 A=67769915
T2ITER t=2 P=2,3,11,17,101,149,3119,970939, N=51133770717892698 A=68421647
T2ITER t=2 P=2,3,11,17,101,149,3119,970943, N=51133981374878226 A=68638891
T2ITER t=2 P=2,3,11,17,101,149,3119,970961, N=51134929331313102 A=69616489
T2ITER t=2 P=2,3,11,17,101,149,3119,970967, N=51135245316791394 A=69942355
T2ITER t=2 P=2,3,11,17,101,149,3119,970969, N=51135350645284158 A=70050977
T2ITER t=2 P=2,3,11,17,101,149,3119,970987, N=51136298601719034 A=71028575
T2ITER t=2 P=2,3,11,17,101,149,3119,970997, N=51136825244182854 A=71571685
T2ITER t=2 P=2,3,11,17,101,149,3119,970999, N=51136930572675618 A=71680307
T2ITER t=2 P=2,3,11,17,101,149,3119,971021, N=51138089186096022 A=72875149
T2ITER t=2 P=2,3,11,17,101,149,3119,971027, N=51138405171574314 A=73201015
T2ITER t=2 P=2,3,11,17,101,149,3119,971029, N=51138510500067078 A=73309637
T2ITER t=2 P=2,3,11,17,101,149,3119,971039, N=51139037142530898 A=73852747
T2ITER t=2 P=2,3,11,17,101,149,3119,971051, N=51139669113487482 A=74504479
T2ITER t=2 P=2,3,11,17,101,149,3119,971053, N=51139774441980246 A=74613101
T2ITER t=2 P=2,3,11,17,101,149,3119,971063, N=51140301084444066 A=75156211
T2ITER t=2 P=2,3,11,17,101,149,3119,971077, N=51141038383893414 A=75916565
T2ITER t=2 P=2,3,11,17,101,149,3119,971093, N=51141881011835526 A=76785541
T2ITER t=2 P=2,3,11,17,101,149,3119,971099, N=51142196997313818 A=77111407
T2ITER t=2 P=2,3,11,17,101,149,3119,971111, N=51142828968270402 A=77763139
T2ITER t=2 P=2,3,11,17,101,149,3119,971141, N=51144408895661862 A=79392469
T2ITER t=2 P=2,3,11,17,101,149,3119,971143, N=51144514224154626 A=79501091
T2ITER t=2 P=2,3,11,17,101,149,3119,971149, N=51144830209632918 A=79826957
T2ITER t=2 P=2,3,11,17,101,149,3119,971153, N=51145040866618446 A=80044201
T2ITER t=2 P=2,3,11,17,101,149,3119,971171, N=51145988823053322 A=81021799
T2ITER t=2 P=2,3,11,17,101,149,3119,971177, N=51146304808531614 A=81347665
T2ITER t=2 P=2,3,11,17,101,149,3119,971197, N=51147358093459254 A=82433885
T2ITER t=2 P=2,3,11,17,101,149,3119,971207, N=51147884735923074 A=82976995
T2ITER t=2 P=2,3,11,17,101,149,3119,971237, N=51149464663314534 A=84606325
T2ITER t=2 P=2,3,11,17,101,149,3119,971251, N=51150201962763882 A=85366679
T2ITER t=2 P=2,3,11,17,101,149,3119,971263, N=51150833933720466 A=86018411
T2ITER t=2 P=2,3,11,17,101,149,3119,971273, N=51151360576184286 A=86561521
T2ITER t=2 P=2,3,11,17,101,149,3119,971279, N=51151676561662578 A=86887387
T2ITER t=2 P=2,3,11,17,101,149,3119,971281, N=51151781890155342 A=86996009
T2ITER t=2 P=2,3,11,17,101,149,3119,971291, N=51152308532619162 A=87539119
T2ITER t=2 P=2,3,11,17,101,149,3119,971309, N=51153256489054038 A=88516717
T2ITER t=2 P=2,3,11,17,101,149,3119,971339, N=51154836416445498 A=90146047
T2ITER t=2 P=2,3,11,17,101,149,3119,971353, N=51155573715894846 A=90906401
T2ITER t=2 P=2,3,11,17,101,149,3119,971357, N=51155784372880374 A=91123645
T2ITER t=2 P=2,3,11,17,101,149,3119,971371, N=51156521672329722 A=91883999
T2ITER t=2 P=2,3,11,17,101,149,3119,971381, N=51157048314793542 A=92427109
T2ITER t=2 P=2,3,11,17,101,149,3119,971387, N=51157364300271834 A=92752975
T2ITER t=2 P=2,3,11,17,101,149,3119,971389, N=51157469628764598 A=92861597
T2ITER t=2 P=2,3,11,17,101,149,3119,971401, N=51158101599721182 A=93513329
T2ITER t=2 P=2,3,11,17,101,149,3119,971419, N=51159049556156058 A=94490927
T2ITER t=2 P=2,3,11,17,101,149,3119,971429, N=51159576198619878 A=95034037
T2ITER t=2 P=2,3,11,17,101,149,3119,971441, N=51160208169576462 A=95685769
T2ITER t=2 P=2,3,11,17,101,149,3119,971473, N=51161893425460686 A=97423721
T2ITER t=2 P=2,3,11,17,101,149,3119,971479, N=51162209410938978 A=97749587
T2ITER t=2 P=2,3,11,17,101,149,3119,971483, N=51162420067924506 A=97966831
T2ITER t=2 P=2,3,11,17,101,149,3119,971491, N=51162841381895562 A=98401319
T2ITER t=2 P=2,3,11,17,101,149,3119,971501, N=51163368024359382 A=98944429
T2ITER t=2 P=2,3,11,17,101,149,3119,971513, N=51163999995315966 A=99596161
T2ITER t=2 P=2,3,11,17,101,149,3119,971521, N=51164421309287022 A=100030649
T2ITER t=2 P=2,3,11,17,101,149,3119,971549, N=51165895908185718 A=101551357
T2ITER t=2 P=2,3,11,17,101,149,3119,971561, N=51166527879142302 A=102203089
T2ITER t=2 P=2,3,11,17,101,149,3119,971563, N=51166633207635066 A=102311711
T2ITER t=2 P=2,3,11,17,101,149,3119,971569, N=51166949193113358 A=102637577
T2ITER t=2 P=2,3,11,17,101,149,3119,971591, N=51168107806533762 A=103832419
T2ITER t=2 P=2,3,11,17,101,149,3119,971639, N=51170635690360098 A=106439347
T2ITER t=2 P=2,3,11,17,101,149,3119,971651, N=51171267661316682 A=107091079
T2ITER t=2 P=2,3,11,17,101,149,3119,971653, N=51171372989809446 A=107199701
T2ITER t=2 P=2,3,11,17,101,149,3119,971683, N=51172952917200906 A=108829031
T2ITER t=2 P=2,3,11,17,101,149,3119,971693, N=51173479559664726 A=109372141
T2ITER t=2 P=2,3,11,17,101,149,3119,971699, N=51173795545143018 A=109698007
T2ITER t=2 P=2,3,11,17,101,149,3119,971713, N=51174532844592366 A=110458361
T2ITER t=2 P=2,3,11,17,101,149,3119,971723, N=51175059487056186 A=111001471
T2ITER t=2 P=2,3,11,17,101,149,3119,971753, N=51176639414447646 A=112630801
T2ITER t=2 P=2,3,11,17,101,149,3119,971759, N=51176955399925938 A=112956667
T2ITER t=2 P=2,3,11,17,101,149,3119,971767, N=51177376713896994 A=113391155
T2ITER t=2 P=2,3,11,17,101,149,3119,971783, N=51178219341839106 A=114260131
T2ITER t=2 P=2,3,11,17,101,149,3119,971821, N=51180220583201622 A=116323949
T2ITER t=2 P=2,3,11,17,101,149,3119,971833, N=51180852554158206 A=116975681
T2ITER t=2 P=2,3,11,17,101,149,3119,971851, N=51181800510593082 A=117953279
T2ITER t=2 P=2,3,11,17,101,149,3119,971857, N=51182116496071374 A=118279145
T2ITER t=2 P=2,3,11,17,101,149,3119,971863, N=51182432481549666 A=118605011
T2ITER t=2 P=2,3,11,17,101,149,3119,971899, N=51184328394419418 A=120560207
T2ITER t=2 P=2,3,11,17,101,149,3119,971903, N=51184539051404946 A=120777451
T2ITER t=2 P=2,3,11,17,101,149,3119,971917, N=51185276350854294 A=121537805
T2ITER t=2 P=2,3,11,17,101,149,3119,971921, N=51185487007839822 A=121755049
T2ITER t=2 P=2,3,11,17,101,149,3119,971933, N=51186118978796406 A=122406781
T2ITER t=2 P=2,3,11,17,101,149,3119,971939, N=51186434964274698 A=122732647
T2ITER t=2 P=2,3,11,17,101,149,3119,971951, N=51187066935231282 A=123384379
T2ITER t=2 P=2,3,11,17,101,149,3119,971959, N=51187488249202338 A=123818867
T2ITER t=2 P=2,3,11,17,101,149,3119,971977, N=51188436205637214 A=124796465
T2ITER t=2 P=2,3,11,17,101,149,3119,971981, N=51188646862622742 A=125013709
